"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2010","2010",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2011","2011",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2012","2012",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2013","2013",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2014","2014",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2015","2015",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2016","2016",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2017","2017",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2018","2018",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2010","2010",99.3,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2011","2011",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2012","2012",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2013","2013",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2014","2014",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2015","2015",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2016","2016",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2017","2017",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2010","2010",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2011","2011",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2012","2012",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2013","2013",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2014","2014",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2015","2015",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2016","2016",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2017","2017",98.7,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2017","2017",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2018","2018",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2010","2010",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2011","2011",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2012","2012",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2013","2013",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2014","2014",100.2,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2015","2015",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2016","2016",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2017","2017",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2017","2017",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2018","2018",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2013","2013",100,,
