"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1960","1960",1912.9,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1961","1961",1893.1,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1962","1962",2010,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1963","1963",2178.9,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1964","1964",2332.3,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1965","1965",2404.6,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1966","1966",2620.7,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1967","1967",2768.6,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1968","1968",3050.4,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1969","1969",3365.7,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1970","1970",3610,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1971","1971",3856.7,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1972","1972",4458.6,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1973","1973",6338.6,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1974","1974",7443.4,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1975","1975",7843,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1976","1976",8366.6,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1977","1977",8197.6,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1978","1978",9452.9,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1979","1979",10351.2,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1980","1980",11788.4,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1981","1981",13522.9,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1982","1982",12636.1,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1983","1983",12487.8,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1984","1984",13235.7,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1985","1985",11511.5,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1986","1986",11922.8,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1987","1987",13944.2,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1988","1988",17369.2,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1989","1989",18992.8,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1990","1990",18959.1,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1991","1991",19038.4,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1992","1992",18629.7,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1993","1993",17959.8,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1994","1994",20307.9,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1995","1995",21721.6,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1996","1996",23843.7,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1997","1997",23691.8,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1998","1998",20936.5,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","1999","1999",22675,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2000","2000",21481.9,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2001","2001",20239.4,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2002","2002",22322,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2003","2003",28316.5,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2004","2004",34031.4,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2005","2005",37713.5,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2006","2006",40009.6,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2007","2007",47299.6,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2008","2008",49743.6,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2009","2009",46784.6,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2010","2010",58981.4,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2011","2011",69234,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2012","2012",69972.1,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2013","2013",66724.7,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2014","2014",62373.3,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2015","2015",52437.6,,
"ECONPIBN","Gross domestic product (GDP)","TCPPERMT","/capita, US$ exchange rate","AUS","Australia","2016","2016",54222.7,,
