"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1982","1982",0,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1983","1983",0,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1984","1984",0.1,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1985","1985",0.3,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1986","1986",0.5,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1987","1987",0.7,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1988","1988",0.8,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1989","1989",1.6,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1990","1990",2.1,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1991","1991",2.4,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1992","1992",2.7,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1993","1993",3.2,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1994","1994",2.8,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1995","1995",2.8,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1996","1996",2.6,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1997","1997",1.1,,
"CICDHIVD","HIV-AIDS","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","1998","1998",0.8,"B","Break"
