"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","1990","1990",685340.46,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","1991","1991",674163.35,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","1992","1992",679329.04,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","1993","1993",713662.5,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","1994","1994",734587.4,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","1995","1995",759164.54,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","1996","1996",759433.51,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","1997","1997",805051.83,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","1998","1998",797869.85,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","1999","1999",841233.72,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2000","2000",892513.98,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2001","2001",901779.23,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2002","2002",910039.69,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2003","2003",951504.04,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2004","2004",977124.79,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2005","2005",1061753.22,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2006","2006",1075870.57,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2007","2007",1101138.47,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2008","2008",1191971.63,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2009","2009",1210900.32,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2010","2010",1266930.91,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",1332304.23,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",1373521.77,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",1385998.39,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",1481586.22,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",1569991.41,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",1634596.89,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",1674564.4,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","1995","1995",275880,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","1996","1996",284290,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","1997","1997",292570,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","1998","1998",297140,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","1999","1999",297650,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2000","2000",301240,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2001","2001",312280,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2002","2002",321300,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2003","2003",330020,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2004","2004",338480,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2005","2005",346200,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2006","2006",356840,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2007","2007",365150,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2008","2008",374010,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2009","2009",386710,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",400250,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",407280,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",414700,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",419940,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",425860,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",438540,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",451350,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",459070,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1995","1995",343800,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1996","1996",351800,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1997","1997",364800,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1998","1998",373100,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1999","1999",385800,,
