"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1961","1961",76,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1962","1962",76,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1963","1963",78,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1964","1964",80,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1965","1965",82,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1966","1966",83,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1967","1967",84,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1968","1968",83,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1969","1969",83,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1970","1970",85,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1971","1971",83,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1972","1972",86,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1973","1973",87,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1974","1974",88,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1975","1975",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1976","1976",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1977","1977",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1978","1978",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1979","1979",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1980","1980",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1981","1981",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1982","1982",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1983","1983",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1984","1984",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1985","1985",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1986","1986",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1987","1987",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1988","1988",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1989","1989",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1990","1990",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1991","1991",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1992","1992",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1993","1993",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1994","1994",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1995","1995",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1996","1996",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1997","1997",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1998","1998",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","1999","1999",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2000","2000",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2001","2001",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2002","2002",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2003","2003",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2004","2004",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2005","2005",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2006","2006",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2007","2007",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2008","2008",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2009","2009",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2010","2010",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2011","2011",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2012","2012",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2013","2013",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2014","2014",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2015","2015",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2016","2016",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2017","2017",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2018","2018",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1960","1960",78,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1961","1961",78,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1962","1962",78,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1963","1963",79,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1964","1964",79,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1965","1965",92,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1966","1966",92,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1967","1967",91,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1968","1968",91,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1969","1969",91,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1970","1970",91,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1971","1971",92,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1972","1972",93,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1973","1973",95,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1974","1974",96,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1975","1975",96,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1976","1976",96,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1977","1977",98,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1978","1978",98,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1979","1979",99,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1980","1980",99,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1981","1981",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1982","1982",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1983","1983",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1984","1984",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1985","1985",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1986","1986",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1987","1987",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1988","1988",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1989","1989",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1990","1990",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1991","1991",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1992","1992",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1993","1993",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1994","1994",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1995","1995",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","1996","1996",99,,
